gender	word	n	log_odds_weighted	corpus
FEMALE	алексис	15	3.291441860544563	rus
FEMALE	колюшка	15	3.291441860544563	rus
FEMALE	жила	83	3.273859889028302	rus
FEMALE	какой	716	3.2591241964841995	rus
FEMALE	просила	64	3.2163323702025526	rus
FEMALE	сережа	81	3.2100309559168902	rus
FEMALE	дашка	14	3.1798331342131303	rus
FEMALE	светгосударь	14	3.1798331342131303	rus
FEMALE	скучно	149	3.1517620514778186	rus
FEMALE	папенька	99	3.142155044604839	rus
FEMALE	уверена	46	3.1396070302609767	rus
FEMALE	ох	270	3.1352991845877054	rus
FEMALE	игнатьич	56	3.1336548850215213	rus
FEMALE	жених	145	3.121907531187377	rus
FEMALE	мной	598	3.121435329509808	rus
FEMALE	сделала	87	3.1126596612242117	rus
FEMALE	боже	433	3.104591317287723	rus
FEMALE	федулыч	49	3.1013349498650147	rus
FEMALE	слыхала	56	3.0913769988914606	rus
FEMALE	paulchen	13	3.0641621429812136	rus
FEMALE	обманута	13	3.0641621429812136	rus
FEMALE	согрешила	13	3.0641621429812136	rus
FEMALE	велела	60	3.0363082636646923	rus
FEMALE	сердце	578	3.011830948617241	rus
FEMALE	ожидала	45	2.9979252396160723	rus
FEMALE	желала	55	2.9713179712100453	rus
FEMALE	чай	246	2.9699594111720384	rus
FEMALE	тобой	578	2.9680059674031263	rus
FEMALE	подите	93	2.96009184772575	rus
FEMALE	витя	12	2.943950093404995	rus
FEMALE	китыч	12	2.943950093404995	rus
FEMALE	тебе	2081	2.943927920617784	rus
FEMALE	привыкла	47	2.9286772710238083	rus
FEMALE	павлик	39	2.9220085697011795	rus
FEMALE	совсем	508	2.9193500558517576	rus
FEMALE	устала	49	2.9142321103013367	rus
FEMALE	мужчины	70	2.9043106021739375	rus
FEMALE	дедушка	86	2.8929368670783453	rus
FEMALE	ждала	46	2.8891957965192874	rus
FEMALE	ж	1706	2.8814741876242707	rus
FEMALE	флор	43	2.8675780970902633	rus
FEMALE	страшно	157	2.8545814621163657	rus
FEMALE	несчастная	78	2.848415938897147	rus
FEMALE	платье	114	2.843685737998806	rus
FEMALE	жить	455	2.8374171997221382	rus
FEMALE	любит	245	2.827465029130547	rus
FEMALE	увы	138	2.8047061288051247	rus
FEMALE	ну	2809	2.7843628766575805	rus
FEMALE	решилась	37	2.7816609389405187	rus
FEMALE	поди	316	2.766533296868417	rus
