id	name	playName	normalizedGenre	libretto	firstAuthor	title	subtitle	numOfCoAuthors	maxDegreeIds	numOfSegments	numOfActs	numOfSpeakers	numOfSpeakersMale	numOfSpeakersFemale	numOfSpeakersUnknown	numOfPersonGroups	numOfP	numOfL	wikipediaLinkCount	wordCountText	wordCountSp	wordCountStage	yearWritten	yearPremiered	yearPrinted	yearNormalized	averageDegree	density	averageClustering	size	maxDegree	numConnectedComponents	diameter	averagePathLength	corpus
fre000836	la-harpe-comte-de-warwick	la-harpe-comte-de-warwick	Tragedy	FALSE	La Harpe	Le Comte de Warwik	Tragédie	0	warwik|elisabeth|edouard	31	5	8	4	3	1	0	0	1348	NA	14268	11711	49	NA	1763-11-07	1764	1763	3.25	0.4642857142857143	0.525	8	5	1	3	1.6785714285714286	fre
fre000837	la-harpe-melanie	la-harpe-melanie	NA	FALSE	La Harpe	Mélanie ou La Religieuse	drame en trois actes et en vers	0	several characters	20	3	5	2	1	2	0	0	1405	NA	12710	12488	246	NA	1792-12-07	1770	1770	4	1	1	5	4	1	1	1	fre
fre000838	la-harpe-moliere	la-harpe-moliere	Comedy	FALSE	La Harpe	Molière A la Nouvelle Salle	Ou les Audiences de Thalie.	0	moliere	12	1	9	5	3	1	0	0	1168	NA	13464	9801	250	NA	1782-04-12	1782	1782	5.111111111111111	0.6388888888888888	0.7261904761904762	9	8	1	2	1.3611111111111112	fre
fre000839	la-harpe-muses-rivales	la-harpe-muses-rivales	Comedy	FALSE	La Harpe	Les Muses Rivales	En un Acte, et en vers Libres.	0	momus	8	1	10	3	7	0	0	0	461	NA	4912	4070	72	NA	1779-02-01	1779	1779	2.4	0.26666666666666666	0.7	10	4	2	4	1.75	fre
fre000840	la-harpe-philoctete	la-harpe-philoctete	Tragedy	FALSE	La Harpe	Philoctète	Tragédie, Traduite du Grec de Sophocle	0	philoctete	13	3	5	4	0	1	0	0	1111	NA	16728	10591	116	NA	1783-06-16	1781	1781	1.6	0.4	0.4666666666666666	5	3	2	2	1.3333333333333333	fre
fre000843	la-motte-amadis	la-motte-amadis	Tragedy	FALSE	La Motte	Amadis de Grèce	Tragédie.	1	amadis	23	0	16	2	3	11	0	0	657	NA	6474	5502	667	NA	1699-03-26	1752	1699	4.5	0.3	0.7725378787878788	16	11	2	3	1.6952380952380952	fre
fre000844	la-motte-canente	la-motte-canente	Tragedy	FALSE	La Motte	Canente	Tragédie.	1	le-choeur	26	0	24	5	5	14	0	0	763	NA	6727	6230	301	NA	1700-11-04	1752	1700	5.5	0.2391304347826087	0.7530046614605439	24	17	2	3	1.7801724137931034	fre
fre000845	la-motte-carnaval-folie	la-motte-carnaval-folie	Comedy	TRUE	La Motte	Le Carnaval et la Folie	Comédie Ballet.	1	choeur	21	0	22	8	1	13	0	0	722	NA	6628	5639	373	NA	1703-12-27	1752	1703	8.545454545454545	0.4069264069264069	0.8504396473682992	22	20	1	3	1.632034632034632	fre
fre000846	la-motte-ines-de-castro	la-motte-ines-de-castro	Tragedy	FALSE	La Motte	Inès de Castro	Tragédie	0	alphonse	34	5	9	3	3	3	0	0	1321	NA	11881	11524	28	NA	1723-04-06	1723	1723	3.5555555555555554	0.4444444444444444	0.7761904761904762	9	8	1	2	1.5555555555555556	fre
fre000847	la-motte-machabees	la-motte-machabees	Tragedy	FALSE	La Motte	Les Machabées	Tragédie	0	salmonee	29	5	9	6	3	0	0	0	1468	NA	13100	12918	16	NA	1721-03-06	1722	1721	2.888888888888889	0.3611111111111111	0.4592592592592592	9	6	1	3	1.7777777777777777	fre
fre000848	la-motte-magnifique	la-motte-magnifique	Comedy	FALSE	La Motte	Le Magnifique	Comédie en Deux Actes.	0	aldobrandin|zima	18	2	9	5	2	2	0	247	109	NA	7686	7508	23	NA	1721-03-06	1752	1721	3.7777777777777777	0.4722222222222222	0.7185185185185186	9	6	3	2	1.1904761904761905	fre
fre000849	la-motte-matrone-d-ephese	la-motte-matrone-d-ephese	Comedy	FALSE	La Motte	La Matrone d'Ephèse	Comédie	0	chrisante|licas	17	1	8	4	2	2	0	282	0	NA	6050	5830	70	NA	1723-04-06	1702	1702	5.75	0.8214285714285714	0.8904761904761905	8	7	1	2	1.1785714285714286	fre
fre000850	la-motte-omphale	la-motte-omphale	Tragedy	FALSE	La Motte	Omphale	Tragédie.	1	le-choeur	26	0	19	2	2	15	0	0	873	NA	8080	7158	345	NA	1701-11-10	1752	1701	5.7894736842105265	0.3216374269005848	0.8607155142758858	19	17	1	3	1.719298245614035	fre
